puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
,-,Alejandro De Lorenzo,-,-,-,Drama,the last four,tt11053202
56,-,Kerith Lemon,"['Rebecca Hall', 'Kerith Lemon']",-,-,Drama,bare,tt11055670
54,-,Dominic Goodie,Dominic Goodie,After a long night of parting two friends discover some foul play that leads them on a race against the clock to save an innocent life.,20,Drama,last night,tt11062492
29,-,Alice Gouveia,Alice Gouveia,-,17,Drama,nina,tt10017060
,-,Craig Bickerstaff,"['Craig Bickerstaff', 'Byron Davis']",-,-,Drama,operator ii twin souls,tt11064158
,-,Roman Pozhidaev,"['Zehre Burakaeva', 'Roman Pozhidaev']",How can you tell your own mother that her only son is gone? For Amina this is the hardest challenge of her life.,13,Drama,when it was snowing...,tt11064926
,-,Borja Sanchez,Borja Sanchez,"Después de una fuerte discusión, Carla recibe una llamada de su marido, la cual será su última oportunidad para decirle lo que siente.",-,Drama,154,tt11070068
,-,Dave Armstrong,Dave Armstrong,-,-,Drama,i'm too nice,tt11070146
,-,Unyime Nseyo,Unyime Nseyo,A man with a troubled past recounts his very peculiar daily routine with an old friend over a remote game of chess.,-,Drama,bishop,tt11075202
20,-,Jahanshah Vafaeisefat,Jahanshah Vafaeisefat,A single mother must cope with the loss of her husband while raising her young daughter.,16,Drama,shattered,tt11078618
,6.6,"['Robert Mc', 'Dermott']",Benjamin Enos,A doctor must fight for custody of his daughter when an accident is called into question.,19,Drama,sedation,tt11078904
,-,"['Jamie De', 'Wolf']",Joe Clifford,-,4,Drama,give up the dead,tt11086050
,-,Yassen Genadiev,Yassen Genadiev,-,3,Drama,pauranoia,tt11086386
,-,Pauline Moreau,Padrig Vion,-,-,Drama,la fille au ciré jaune,tt11092212
,5.8,R.B. Lima,"['Ashley De La Veiga', 'R.B. Lima']","There was once a woman, Maria Laura, who used to come here to bang. One night, after a party, she came here with two guys. So, the day after, a bricklayer found her dead in a puddle of blood. Everyone who comes here has the habit to paint something in the wall if no, Maria Laura's ghost appears, rips person's head and hangs in her neck.",16,Drama,"de vez em quando, quando eu morro, eu choro",tt11101250
,-,Juan Pablo Arias Munoz,Christina Kingsleigh Licud,-,20,Drama,abuelita,tt11100574
-,-,Reese Prokosch,Reese Prokosch,-,2,Drama,one too many,tt11100504
,-,Undelaibery Pena,Undelaibery Pena,"Julito is a poor young man who tries to escape from his obscure past leaving it behind, and driven by his subconscious that helps him discover his dream which makes him a millionaire overnight. However, just when everything seemed perfect, that past comes back as a shadow playing a dirty trick on him and taking everything away, but this doesn't stop him from pursuing ... Leer todo",15,Drama,algún día será,tt11102996
,-,Ashley Williams,"['Ashley Pitman', 'Ryan Williams']",-,-,Drama,the super galactic space cadets,tt11107404
,-,Jojo Erholtz,"['Jojo Erholtz', 'Bryana Scott-Hawk']",-,13,Drama,sad eyes,tt11107262
59,-,Giorgi Menabde,"['Nodar Dumbadze', 'Giorgi Menabde']",Old Nodar agrees with his son to sell their ancestors house. but when they get to a village where their house is he gets filled with the memories and it doesn't work well for him.,24,Drama,blood,tt11112422
,-,Regina Carrasquel,Regina Carrasquel,-,7,Drama,mi amigo secreto,tt11118976
,-,Nick Cohen,-,-,-,Drama,sommerleben,tt11121372
,-,Hannah M Weber,Hannah M Weber,-,-,Drama,hindrance,tt11120718
,-,Jacob Horne,Jacob Horne,"A getaway driver comes into possession of a suitcase with enough money in it to skip town. Problem is, he's not the only one interested in the case.",8,Drama,the wheelman,tt11126106
,-,Matt Embry,Matt Embry,A successful businessman is caught up in a web of deceit as he invites a younger man into his life to play a game of basketball.,20,Drama,gunner,tt11129306
,7.4,Christian Cavazos,Christian Cavazos,-,12,Drama,papalote,tt11135920
,-,Jaro Jääskeläinen,"['Jaro Jääskeläinen', 'Juuso Tuunanen']","While smothering in his daily hastiness, Oskar unexpectedly comes across with a letter dating back to 1945 and discovers a compelling story about the eternity of time and life - steered by the waves of the sea.",11,Drama,arkona,tt11138224
97,-,Karthik Rao,Abhishek Iyengar,-,-,Drama,anjali,tt11138298
64,-,Kean Gross,Kean Gross,"Two brothers reconnect, after almost 30 years and the death of their father, inside the older brother's childhood bedroom.",10,Drama,brothers,tt10020900
,-,David Koh,David Koh,"Inspired by the works of director Wong Kar Wai and novelist Haruki Murakami, ""Lady in Lavender"" is an experimental short film exploring the themes of urban isolation and human connections.",10,Drama,lady in lavender,tt11143326
-,-,Nic L. Kelly,Nic L. Kelly,-,-,Drama,day one,tt11147018
,-,Piyali Shome,Piyali Shome,"Short film based on the situation after the judgment of Indian Supreme Court on IPC Section 377 to re-criminalize on December 2013. KHAROSROTA goes with the name Torsha, a hilly river of West Bengal; which is both speedy and wild in nature. But her story is not reachable to everyone as so many barriers and dangers are there at source of the river. Even then she flows ... Leer todo",23,Drama,kharosrota,tt11146222
,-,Júlia Roigér,Lara Stoop,-,6,Drama,clic,tt11146304
60,-,Nicholas Cook,Nicholas Cook,A boy resorts to unusual methods to care for his ailing mother.,19,Drama,garbage,tt11150402
67,-,Takara Kobayashi,-,-,40,Drama,traffic light,tt11150602
-,-,Torin Penwell,Torin Penwell,"Gill, a closeted woman, must prove to her friend, Blair, a headstrong homophobe, that homosexuality is not a form of retardation.",7,Drama,mental,tt11151540
,-,Stanley Abad Williams,Stanley Abad Williams,-,7,Drama,lost ones,tt11152188
,-,Frederik Rundstrøm Andresen,Frederik Rundstrøm Andresen,A young kid finally decides to fight back at the sadistic bullies that's been torturing him for years,17,Drama,fede svin,tt11153294
-,-,Omer Ben-Shachar,"['Vaughn Diana Alexander', 'Omer Ben-Shachar']","On the first day of vacation, a young couple play a game that quickly goes out of their control.",-,Drama,the hitchhiking game,tt11156104
,-,Arnaud Lin,Arnaud Lin,Yan is a young woman and a victim of trafficking. She is forced to entertain. But someone takes her place.,6,Drama,lovely you,tt11157290
,-,"['Taylor De', 'Camillo', 'Arnaud Lin']",Arnaud Lin,"A fashion film inspired by the story of Eva Ionesco. During the 1970's, her mother, the French photographer Irina Ionesco took erotic photos of her from the age of 4 to 12. Garments by Pauline De Blonay",4,Drama,sa candeur se fâne,tt11157336
,-,Alex Sandoval,Alex Sandoval,"A young man loses his wife at the birth of his first child, and he desperate to understand that he will have to educate him alone.",15,Drama,luz difunta,tt11155566
,-,Eugenia Reynoso,Eugenia Reynoso,-,15,Drama,libertad condicional final,tt11161514
,-,Maxim Lecompte,Maxim Lecompte,Four stages in the romance between a woman and a man.,7,Drama,miss atomic bomb,tt11165858
,-,Tusha Pandey,Tusha Pandey,-,-,Drama,chai coffee mix,tt11167500
,-,Steven Burneson,Steven Burneson,"Elaine is set to celebrate her new minor, but Mike and Julianna have other plans.",15,Drama,how to give,tt11166460
-,-,Sandeep Ravindranath,Sandeep Ravindranath,-,-,Drama,larry,tt11167256
,-,Thomas Edward,Thomas Edward,-,-,Drama,where we left off,tt11171646
,-,Honey Singh,"['Jayant Gilatar', 'Jiten Purohit']",-,-,Drama,opportunist,tt11173396
-,-,Jayant Gilatar,"['Kumar Sanu', 'Manoj Sisodiya']",-,-,Drama,meri aawaz suno,tt11173652
,-,-,Jiten Purohit,-,-,Drama,sweet 60,tt11173460
26,-,George Nicholas,George Nicholas,A first responder finds her estranged father in need of help.,-,Drama,stay,tt11177090
,-,Manya Kay,Manya Kay,A girl gets ready for a date. Events take an unexpected and depressing turn.,8,Drama,thank you,tt11192420
,-,Patrick Alexander,Patrick Alexander,An off-duty Uber Driver's night takes a turn when he receives bad news.,1,Drama,designated drunk driver,tt11193142
,-,Emma Sánchez-Quiñones,Angie Corral,-,9,Drama,retinas de alquiler,tt11194286
,-,"['Leila Mc', 'Millan']","['Leila Mc', 'Millan']","In this work we measure ourselves through the arc of light and shadow. We step into our shadows only to escape them in our nostalgia for the light. Swallowing clouds we pass through the deliciousness of our desires, knowing we cannot have one without the other.",22,Drama,3 fingers at arm's length,tt11193946
,-,Zhichun Huang,Zhichun Huang,Newly immigrated Chinese mother and daughter who are going through the threshold of cultural assimilation live under the situation of water shortage in a shabby household in Los Angeles.,-,Drama,wash,tt11198752
,-,Amy Benjamin,Eric James Gravolin,-,-,Drama,the day we (un)met,tt11203510
100,-,Andrew Hostler,Michael St. Germain,-,-,Drama,pause,tt11209382
,-,Bruno Autran,Bruno Autran,"The recent scenery of intolerance in Brazil and around the World, makes Joan of Arc survives.",4,Drama,joana d'arc,tt11223118
100,-,Nick Madison,Nick Madison,"Several estranged cousins come together after the death of their grandparents, but they quickly learn that things will never be the same.",27,Drama,cousins,tt11223966
32,-,Nick Madison,Nick Madison,"Teenagers Luke and Scarlet fall in and out of love and after a tragedy, Dr. Sparbel must help Luke come to terms with reality.",13,Drama,15 minutes,tt11224004
38,-,"['Daniel Lugo De', 'Arellano']","['Ricardo Cano', 'Daniel Lugo De', 'Arellano', 'Jonathan Diaz']",-,-,Drama,coming home,tt11225366
,-,Jonathan Diaz Mayagoitia,Jonathan Diaz Mayagoitia,-,-,Drama,arsénica,tt11229248
,-,Christopher Davison,"['Christopher Davison', 'Bethany Marie Wilson']",-,-,Drama,the cipher,tt11241666
,-,Christine Eunji Kim,Christine Eunji Kim,A story about a girl who never says what she means to say. And the one time she does.,-,Drama,inside voices,tt11251366
,-,Siamak Kashefazar,Siamak Kashefazar,-,20,Drama,brokers,tt11258136
,-,Fafe Knapp,Fafe Knapp,-,-,Drama,cause to play,tt11261718
,-,Oswald Thomas,Oswald Thomas,-,-,Drama,red light monk,tt11266594
100,-,Stefani Raycheva,Stefani Raycheva,When does children grow up?,6,Drama,butterflies,tt11269338
,-,Panini Rajkumar,-,-,-,Drama,naked and silent,tt11268754
,-,"['Felix Gerbrod', 'Andreas Thedens']","['Felix Gerbrod', 'Andreas Thedens']","Three people are locked up in a bunker after an apocalyptic event, they cope well, but only have two records left.",12,Drama,plattentausch,tt11269638
,-,Brandon J. Rivers,Courtney Davis,"When the son of a broken but spiritual family is in a horrific accident, the family must try and keep it together with all the gilt while supporting there love one. While the son is fighting for his life.",7,Drama,here for family,tt11272062
-,-,Tatiana Wisniewski,Tatiana Wisniewski,-,10,Drama,kairós,tt11270112
,-,Tatiana Wisniewski,Tatiana Wisniewski,"After years of being abused by her partner, she decides to put an end to it.",4,Drama,ghost of a body,tt11269942
-,-,Genevieve Kertesz,"['Genevieve Kertesz', 'Joshua Todd']","Mitch is a man who lives a controlled life with a self imposed strict set of rules and boundaries. One night he is dragged against his wishes into a fantasy strip club called ""Daydream"" where he meets Emily.",15,Drama,daydream,tt11273900
-,8.5,Youssef Sanheji,Youssef Sanheji,"Sarra, a young autistic girl finds herself locked up home by her mother Hend who does not accept her illness. Obsessed by her social reputation, Hend devotes herself to her daughter and decides to cure her in her own way.",16,Drama,aquarium,tt10129410
,9.2,Imène Alnasiri Boulos,Imène Alnasiri Boulos,"Océane is a little blind girl. She spends her days playing at the edge of the beach. She is very attached to her grandfather. Her grandfather enters the depths of the sea on a day of a great storm. While waiting for him, Oceane crystallizes and becomes a wax doll.",27,Drama,asrar al-rih,tt11280030
,8.7,Haithem Sakouhi,Haithem Sakouhi,"The narrator, a screenwriter, tells his life as well as the daily life of his street artists friends in a brand new reality context.",15,Drama,1999,tt11280538
-,8.9,Insaf Arafa,Insaf Arafa,A moment of life of a young couple who finds themselves facing a probable eternal separation.,25,Drama,barzakh,tt11279838
,-,James Barth Kabuya,James Barth Kabuya,-,-,Drama,menace commune,tt10004294
,-,Pacifique Aganze Tabaro,Pacifique Aganze Tabaro,-,-,Drama,kadogo,tt10004232
,-,Paul K.VPaul Villenave,Paul K.V,-,-,Drama,neon passion,tt10004384
14,-,"['S.A. Brown', 'Kyon Edwards']",Kyon Edwards,Rodney goes to a party and end up getting kidnapped by Queen the drug lord. Queen decided to hold Rodney for ransom. And if Queen doesn't get her money from his brother she is going to kill Rodney.,-,Drama,brotherly love,tt10005518
,-,Hugues Espinasse,"['Hugues Espinasse', 'Nicolas Robin']",-,10,Drama,a bloc,tt10006406
,-,Bryan G. Uricoechea,Bryan G. Uricoechea,Laurence Denny wakes up to find himself captive of man who thought Laurence was his brother.,12,Drama,form 1,tt10002400
-,-,Laura Dorn,"['Georg Büchner', 'Jonathan Parr']",-,30,Drama,fragments,tt10006220
,-,Peter Colbert,Peter Colbert,"The story of legendary delta blues guitarist Robert Johnson's alleged deal with the Devil, but not the Devil you know.",18,Drama,at the crossroads down yonder,tt10010676
,-,Julian Reich,-,"If creativity was a person living inside of you, would it change the way you treat yourself?",10,Drama,selflove,tt10010502
,-,Hem Chandra Borah,Hem Chandra Borah,"A widowed mother from a remote village struggles every day to survive with her only son who wants to realize his dream of higher studies must preserve her sanity against a wimenizer too, until her son decides to give up his dream and become a boatman like his demised father killed in an accident in the river.",39,Drama,the day dreams,tt10010672
,-,Ramona Taylor,Ramona Taylor,-,-,Drama,half the battle,tt10007932
,-,Anil Kumar Reddy Vootkuri,-,-,-,Drama,c/o krishnanagar,tt10010378
,6.9,Harun Baysan,Harun BaysanÇetin Kurt,"Akif, who has to look after his diseased father, is a draft dodger. He has no one to entrust his father to. There is only one way to avoid compulsory military service. He gets close to Ugur who is exempt from military service.",30,Drama,akif,tt10010330
,-,Raman Turhan,Raman Turhan,"The dream of a homeless person is to be able to enter Universal Expo, having heard a lot of good things about this huge event that aims to improve the world: healthy food for all, renewable energy, respect for the Earth and promote the decrease of hunger in the world. After weeks of begging, he is able to enter the Expo. Finally, after so much effort and sacrifice, he... Leer todo",-,Drama,dream expo,tt10010638
,-,Oscar Barba-Vargas,Oscar Barba-Vargas,A couple of young roommates living a blue-collar lifestyle try to figure out adulthood in modern-day society.,11,Drama,past due,tt10010994
,-,Pierre De Gourcy,"['Mathilde Chanthapanya', 'Pierre De Gourcy']","Adam and his mother usually spend Valentine's Day together. This year, he wants to invite her to a drag show where he will play ""Dalida"", their idol. Will she finally accept his identity?",9,Drama,flamboyante,tt10011656
,8.7,Daniel Roy,"['Daniel Roy', 'Vanessa Yuille']",Tom returns home after many combat tours only to find himself fighting another war from within.,5,Drama,22,tt10010772
,-,Adam Jumba,"['Adam Jumba', 'Xavier Taylor']",-,-,Drama,asphalt saints,tt10009344
,6.2,Faranak Moradi,Faranak Moradi,Lili is a waitress and obsessed with sound. she can't stand her loneliness more than before.,8,Drama,m like mobius,tt10013176
,5.7,Matthew Castellanos,"['Arlene Armenta', 'Ricardo Ayala', 'Odaliz Cabrera']",A loving father faces different obstacles in a desperate attempt to attend his daughter's championship volleyball game.,7,Drama,endgame,tt10014878
54,-,Reid Suttles,Anton Chekhov,-,-,Drama,the cherry orchard,tt10015376
,-,Solveig Herzum,Solveig Herzum,-,11,Drama,the greener the grass,tt10014612
,8.2,"['Mariana Arriaga', 'Santiago Arriaga']","['Guillermo Arriaga', 'Santiago Arriaga']",Two young men are found in a small town in northern Mexico. The only thing left in the crime scene is an AR-15. We follow the gun to see where it came from; the United States.,15,Drama,b-167-980-098,tt10014890
,-,Natalia Montecinos,Natalia Montecinos,An unhealthy relationship that never ends.,-,Drama,honey,tt10014710
,-,Timothy Urso,"['Timothy Urso', 'Mackenzie Wilson']",-,-,Drama,turn the switch off,tt10014556
,-,Virginia Gilbert,Emmaline Dowling,A father takes his daughters on an impromptu day out to the seaside with unsettling consequences.,13,Drama,day out,tt10016858
69,-,Sherry Rashidan,-,"First-time robber Liam breaks into the home of a confused elderly woman, Mrs. Green, who's suffering from dementia. Mrs. Green confuses Liam for her son. In order to save himself, Liam plays along as her son.",-,Drama,forget me not,tt10021210
12,-,Julio Ramos,"['Patrick Steward', 'Ydalie Turk']",-,-,Drama,open house,tt10021786
,-,Camilla Moen-Nilsen,Camilla Moen-Nilsen,"When eleven-year-old Julia discovers a secret that has been hidden from her all her life, the relationship to her father is put in a new perspective.",16,Drama,perfekte vegger,tt10021610
-,-,Yi Xie,Carla Robinson,"Danny, a young Mohawk man, struggles to adjust to a life threatening condition. He just wants to be normal, refusing to listen to the warnings of his doctor, loved ones, and a spiritual visitor in his dreams.",10,Drama,the guide,tt10026128
30,7.3,Theo Papadoulakis,Panagiotis Papoutsakis,Christmas Eve. On a busy shopping street a young man with a crowbar causes total chaos.,4,Drama,my brother,tt10023224
44,-,Michael Morris,"['Hope Mc', 'Collumn', 'Michael Morris']",-,23,Drama,the other side,tt10026098
,-,Sourav Paul Datta,Sourav Paul Datta,"Basudeb Roy finds that everytime he tries to make a call from his newly received mobile phone, the phone asks for a date and time in the past. Basudeb now keeps on calling his missing granddaughter in a past date and time. On being reminded by his wife, Sutapa that their granddaughter had died on a plane crash while travelling to Delhi from Kolkata along with her boyf... Leer todo",23,Drama,rupkothar kahini,tt10026376
,-,Gemadipada,"['Gemadipada', 'Prabu Genta', 'Mika Savitri']",-,-,Drama,i love when you sing to me,tt10022338
,-,Eoin Goyette,Eoin Goyette,-,-,Drama,young grandpa,tt10026668
,-,Fabio Araujo,Fabio Araujo,-,-,Drama,100 inscritos,tt10022852
,-,Richie Owens,Richie Owens,A young boy entering adolescence carries the responsibility of saving his dysfunctional family.,23,Drama,eddy,tt10026970
21,-,Finbar Somers,"['Finbar Somers', 'Harry Soutter']",-,-,Drama,the veil,tt10086844
,7.1,Alexander Geil,Alexander Geil,A troubled teen relives his past actions.,6,Drama,a story told from the end,tt10025230
-,-,Evann Rodriguez,Evann Rodriguez,The story of a clown who is tired of his job.,10,Drama,clout,tt10028230
100,-,Martin Hilligoss,Martin Hilligoss,When a couple on the brisk of a break up find themselves in the midst of a harrowing event they must escape in order to survive.,6,Drama,runner,tt10028626
,-,Harvey Gardner,Harvey Gardner,"After not seeing eye to eye for a long time, two brothers are forced to work together for one momentous task - to paint their Gran's shed.",14,Drama,shed,tt10049300
33,-,Wai Kuen Fu,Wai Kuen Fu,-,-,Drama,treasure,tt10028464
,-,Gionata Medeot,Gionata Medeot,-,-,Drama,father 'n' son,tt10030282
,-,Shlok Sharma,"['Shlok Sharma', 'Shilpa Srivastava']",-,10,Drama,beautiful world,tt10031466
,-,Kyle R. Padden,Kyle R. Padden,"Daryl Fox is a police officer sent undercover to infiltrate a Chinese gang. However, the job is putting a wedge in his family life. Convinced it is his last job, he meets with his partner, Jim Kowalski. This may truly be his last job, as the gang is onto him. He must prove himself or risk losing it all.",-,Drama,outfox,tt10032238
,-,Cameron Christie,Cameron Christie,"A boy, alone and isolated, receives a phone call from a mysterious woman. While on the line, the two start discussing about life in its entirety, tying in their deepest, darkest secrets into the mix. It begs the question, just who exactly is this woman?",11,Drama,the woman at the other end of the line,tt10032780
-,-,Terron Jones,Terron Jones,-,12,Drama,cycle,tt10037162
88,-,Alice Howell,Alice Howell,A female detective arrives home to an accusation from her husband.,-,Drama,the accusation,tt10037668
-,-,Freddy Novillo,Gilberto Mariscal Lara,-,3,Drama,la última oportunidad,tt10037600
33,-,Joseph Lamb,Joseph Lamb,-,-,Drama,the best man,tt10042048
-,-,Kento Shimizu,Kento Shimizu,"There is a post box in the mountains in Iwate Prefecture, which was hit by the earthquake and tsunami. The post box was placed there hoping it would help cure hearts and spirits that were injured following the tsunami. One could write a letter to those who are dead as a result of the tsunami that devastated the area. The original idea was to provide therapy for those ... Leer todo",30,Drama,the drifting post,tt10037910
,-,Tim Eather,"['Tim Eather', 'Dylan King']",A once popular Pastor discovers who he really is when he is called back into the community to care for dying hospice patients.,14,Drama,worship me,tt10039390
,-,Ali Ege Gültekin,-,"When individuals meet in the event of a crisis, they can resort to any means of self-preservation. This issue is criticized in the film by using social patterns.",22,Drama,battue,tt10040972
-,-,Patrick Gatling,Patrick Gatling,"John ""Gravitas"" Clearwater's Moto GP ended prematurely after a near fatal accident. Years later he wants to break out of the monotony of his life by rekindling his riding career, much to the chagrin of his wife, Jean.",20,Drama,inertia,tt10044994
,-,Brooklyn Alexander,Brooklyn Alexander,"Henry, an elderly, arthritis-stricken man struggles to get himself and his untied shoes to Bingo Night to meet his girlfriend, Martha.",8,Drama,bingo night,tt10042840
60,-,Peter Malcolm,Peter Malcolm,A ride-sharing driver picks up a client on his way to court to hear a verdict on allegations of corporate theft. Only through discussion of struggle and the pursuit of happiness does the passenger leave the vehicle a changed man.,10,Drama,confessional,tt10042006
,-,Mario Scarinci,Mario Scarinci,"A man's life takes a particular turn when he begins to receive a series of phone calls. Now he has to face a new reality, as much unimaginable as unavoidable, which might end up to lead him to plunge to his death.",15,Drama,incoming calls,tt10039134
,-,Isa Benn,Isa Benn,"A young girl connects to the spirits of her ancestors through a dream and awakens changed, to the concern of her father.",11,Drama,sand. rock. palm.,tt10042194
,-,Thais Scabio,Thais Scabio,-,-,Drama,barco de papel,tt10041944
,-,Ester Ivakic,Ester Ivakic,"Far away from villages and other people, 400 gusts of wind away - Marija and Drevo are there for their dying friend Kirny. To ease her suffering and paint a prettier picture of the afterlife, Marija reminds Kirny of her late dog Rexi. Kirny longs to see Rexi again.",18,Drama,assunta,tt10045172
83,-,Gabe Ruvinsky,Gabe Ruvinsky,-,-,Drama,audition,tt10043400
80,-,Daniel Arriola,Daniel Arriola,"Guatemala, 1987. David, a curious boy, realizes that Ana, the shy girl from his class, never smiles. With help from his best friend Mateo they decide to try and find out the reason behind it. In order to do this, they attempt to take a picture of her with Mateo's dad's camera.",4,Drama,picture day,tt10042008
,-,Giovannie Espiritu,Giovannie Espiritu,-,-,Drama,believe her,tt10044544
,-,Ryan M. Robson,"['Kent Harkey', 'Ryan M. Robson']",-,-,Drama,land of flat dirt,tt10048344
89,-,Luis Samra,Luis Samra,-,-,Drama,kindling,tt10048330
64,-,Stephy Tao,Stephy Tao,-,-,Drama,blink,tt10049944
30,-,"['Samuel Mc', 'Intosh']","['Samuel Mc', 'Intosh']","A short film/ad hybrid for Void Production X Calvacade, USA's Season 2.",8,Drama,alone together,tt10050036
,-,Alexander Calzada,Alexander Calzada,-,18,Drama,la cáscara,tt10050784
,-,"['Samuel Mc', 'Intosh']","['Samuel Mc', 'Intosh']",-,4,Drama,odds & ends,tt10050096
,-,Coreetta Buchan,Coreetta Buchan,"After a traumatic war in Afghanistan, LT. Harvey recalls his battle with PTSD and supernatural journeys to other worlds. Through quantum time travel, LT Harvey has a mission to complete. Lt Harvey's Neurologists are perplexed by the power of Harvey's episodes, they are starting to believe the impossible.",-,Drama,journey of three worlds,tt10054256
,-,Leona Abrahamian,Leona Abrahamian,This story reflects the perception that throughout our lives there is this barrier between who we are and who we want to be. The most important thing is to gain the courage to break the glass and truly embrace who we are no matter where we come from.,2,Drama,the man behind the glass,tt10054306
40,-,Niuyue Kay Zhang,Niuyue Kay Zhang,-,7,Drama,due date,tt10050272
-,-,Samuel Urbina,"['Arturo Palacios', 'Samuel Urbina']",A high school student decides to spend the afternoon in the street after learning that his school hasn't yet been repaired from the damage caused by a natural disaster.,9,Drama,man,tt10048730
92,-,Lana Shearer,Lana Shearer,Two brothers set out to find their birth mother.,5,Drama,searching,tt10051290
,-,Guillermo Regalado,Guillermo Regalado,-,4,Drama,gatita,tt10055686
,-,Léna Turlot,Alexis Corso,-,5,Drama,l'intermediaire,tt10052910
,-,Lizzy Hallam,"['Cameron Mc', 'Culloch-Keeble']","Seperated by generations and the floors of their tower block, two sets of groups, an older family and a gang of teenagers watch the lives of each other and consider how disrespectful the other generation is.",-,Drama,they live outside,tt10054606
,-,Alexandre Blais-Graveline,-,-,7,Drama,à bout de ressources,tt10055142
,-,Ricky Rosario,Craig Fishback,"A young dancer befriends a homeless woman, and that relationship brings him the break he's been searching for. Surrounded by friends and a job that barely makes ends meet, Clayton sticks to his passion throughout his struggles.",20,Drama,it's who you know,tt10058854
,-,Billy Butler,Billy Butler,"Mason Shaw, a rambunctious college student, becomes a drug dealer to pay his way through school. He is caught by the DEA and recruited as an informant to lead an investigation in the take down a local drug kingpin.",33,Drama,affinity - the series,tt10055152
,-,Jon Elliott,Jon Elliott,"Directed by Jon Elliot and Produced by Paper Frame Pictures, Her Water Drum is a compelling Short Film that brings to light the issues of Missing and Murdered Indigenous Women and Girls. In this Film Jolene (a Mohawk Mother), struggles to deal with the world and her son; as she fights to find her missing Daughter.",17,Drama,her water drum,tt10061588
,-,Rye Inglis,Rye Inglis,"A short drama directed by Rye Ingles about two girls, Casey (Phoenix Cross) and Brooke (Mikayla Williamson), in love. Just when they think everything is great, a huge secret is revealed leaving the girls shocked to their core.",-,Drama,she's not for me,tt10060072
60,-,Ram Dinesh Sharan,Ram Dinesh,-,-,Drama,fever,tt10062058
-,-,Vikrant Dhote,Vikrant Dhote,"After a young man commits suicide, an NGO decides to conduct an investigation into the matter. As they begin to uncover the truth, we see intimate portraits of his parents, friends, and teachers.",20,Drama,ajay,tt10060776
,-,Dave Perry,Dave Perry,"""A chance encounter between a woman doing last minute shopping, and a butcher who is closing up shop for the evening, results in some unexpected help, a life altering decision, and preparation of one more meal.""",6,Drama,one more meal,tt10064004
,-,Vic Roxas,-,-,-,Drama,woodside,tt10063816
91,-,Charles Brown,Charles Brown,-,-,Drama,you,tt10066390
60,-,"['Frederico Evaristo', 'Bob Yang']","['Frederico Evaristo', 'Bob Yang']","On the eve of an important ruling, the Taiwan Supreme Court Judge receives an unexpected letter.",14,Drama,from the other side,tt10065230
,-,Maxime Simone,Maxime Simone,-,-,Drama,les jours heureux,tt10071600
,6.4,"['Jimmy Ren', 'Jack Vang']","['Jimmy Ren', 'Jack Vang']",A short horror film about a young woman who's haunted by a mysterious creature tapping at her window.,8,Drama,a tap at the window,tt10071592
50,-,Chi Wang,Chi Wang,Abby's birthday took a turn for the worse when she decided to go bake a cake at her neighbor's house.,11,Drama,red velvet,tt10066102
,8.5,Anna Akana,Anna Akana,National Suicide Prevention Hotline 1-800-273-8255 / Text HELLO to 741-741 Crisis Text Line / When I've Wanted to Die is a short film adapted from a collection of memories of when a girl has wanted to die.,10,Drama,when i've wanted to die,tt10068734
,-,Maria Goldrin,Maria Goldrin,A young girl is feeling confused about the world and tries to understand how things work.,11,Drama,madal pilvelõhkuja/the low skyscraper,tt10068142
,-,M W Daniels,M W Daniels,Emily Murray is at her 25th birthday and something very odd happens to her. She is born with a special power in her hands and her mysterious mother is the only person in emily's life to hold's the secrets.,9,Drama,emily's hands,tt10069254
,-,Ariel Orama López,-,-,-,Drama,bóxers,tt10072074
-,-,Roberto Gonzalez Mendieta,"['Regina Arizpe', 'Roberto Gonzalez Mendieta']","Have you ever thought about what goes through a suicidal person's mind? Isabela is a young woman who lives a routine life, but a series of problems combined with the feeling of loneliness cloud her hope and desire to live ... In ""Anhedonia"" a comparison is made between depression and an eclipse in which the picture looks darker every time. People who commit suicide gi... Leer todo",-,Drama,anhedonia,tt10071200
,-,Arjun Narayan,Chhavi Kumar Joshi,-,-,Drama,i'm sorry mum'ma,tt10073524
42,-,Caelia Adams,Caelia Adams,A woman goes to the beach searching for answers.,-,Drama,whisper,tt10073642
,-,Buchi Ogbonnaya,Rai Dandaura,-,-,Drama,4:13,tt10074162
,5.8,Simon Doutreleau,Simon Doutreleau,"After the death of their child, Thomas, Louis and Anna try to overcome this tragic event. While one of his father's friend try to help him, Louis begin to fall in madness by following instructions coming from a mysterious creature in his dream.",25,Drama,out in the woods,tt10074248
67,-,Yue Zhang,-,Student Clair was introduced by ProfessorSteve to Steve's another student Du Qinghua. But this Chinese girl seems unfriendly. And Clair finds out that Du has got some troubles.,12,Drama,flow,tt10074654
20,-,Máté Artur Vincze,Máté Artur Vincze,"Weeks after giving up her child for adoption, the birth mother pays an unexpected visit to the adoptive parents.",7,Drama,desiree,tt10074682
,-,Hang-Sang Poon,Leung Lai Fan,"Despite happy appearances, Mr and Mrs Man are a quarrelling couple. Each keeps telling the other how much they have sacrificed for the family, not realising that their fights have been witnessed by their five-year-old daughter, Kei. One terrible day Mrs Man runs away. Mr Man then finds her in a park. The wall that divides them seems to be coming down.",-,Drama,green dust,tt10077038
